Y	X	lane	road	fence	bus	large.truck	D.Urban	D.agri	D.forest	D.grass	D.wetland	D.bare	D.water	A.Urban	A.agri	A.Grass	A.wetland	A.bare	A.water	adult	sub-adult	juvenile	non-identification	PA
0.399840132	0.897777763	0.366539384	0.666605199	0.070131534	0.640042469	0.576455797	0.638300272	0.490918042	0.375540187	0.344506792	0.65687873	0.619663766	0.518105929	0.221704648	0.355807995	0.526096944	0.174355309	0.269017536	0.1874609	5.291502622	0	0	1	5.385164807
0.386330703	0.855516003	0.356822132	0.671896351	0.24729627	0.629265978	0.548818964	0.634858842	0.483430124	0.389841714	0.349590875	0.649857046	0.604817555	0.51226375	0.226792661	0.372531294	0.520993264	0.181732545	0.257643187	0.199857593	0	0	0	1	1
0.33962276	0.802728096	0.340535479	0.685571939	0.279485841	0.632879925	0.538502086	0.627260083	0.467327359	0.39248112	0.355872341	0.634057446	0.601262453	0.508760903	0.234488167	0.38076127	0.516346683	0.185909504	0.246220056	0.213418289	1	0	0	0	1
0.299911402	0.739360779	0.320408044	0.680256138	0.274985558	0.622617494	0.501364266	0.612748361	0.445120633	0.399719016	0.364762924	0.607223068	0.596652814	0.494143548	0.234028386	0.395140889	0.50460063	0.201905095	0.236184139	0.23805041	2.872281323	0.866025404	0	1.58113883	3.391164992
0.222283891	0.672012807	0.292294059	0.676550337	0.105895993	0.628167313	0.466537568	0.597245321	0.412634459	0.398758031	0.380557465	0.583025996	0.602999557	0.484732425	0.234348846	0.396689793	0.485879474	0.209334643	0.223951549	0.276989557	4.123105626	1.414213562	0	2.449489743	5
0.231090518	0.635313956	0.301526095	0.670686416	0.158046439	0.599639934	0.454314789	0.600302691	0.424928073	0.391575788	0.349581965	0.54330477	0.603793654	0.464858532	0.226159604	0.410078299	0.490545429	0.212431134	0.211651776	0.225132163	3.16227766	1	0	2	3.872983346
0.230187856	0.603039556	0.295872011	0.668999934	0.280652912	0.597773809	0.450917947	0.600375841	0.425543303	0.390170392	0.354685399	0.546072623	0.602195958	0.470044589	0.22707465	0.416278708	0.50473968	0.213750115	0.212990529	0.222470327	1.58113883	0.5	0	1.118033989	2
0.2233452	0.54348986	0.306125141	0.668475356	0.4960248	0.592116601	0.452842037	0.606339765	0.429232871	0.385415083	0.358567412	0.540024957	0.604461922	0.476448803	0.222762944	0.432472363	0.528971014	0.218508417	0.203964066	0.190671599	0	0	0	0	0
0.195969141	0.464502164	0.310932986	0.671705877	0.49371881	0.59199742	0.448174146	0.619100344	0.436441742	0.382096033	0.353794087	0.553462492	0.626355962	0.487178984	0.215763875	0.445232913	0.565529771	0.22406101	0.193741775	0.173400574	0.707106781	0.5	0	0	0.866025404
0.17490325	0.394332558	0.319801351	0.676964751	0.517337183	0.59454921	0.456266738	0.631415043	0.446812308	0.379150931	0.348313962	0.572133656	0.639385209	0.503610334	0.211372153	0.455386287	0.603923711	0.232025491	0.189273857	0.15489889	1	0.707106781	0	0	1.224744871
0.145211683	0.328333065	0.321096791	0.680595585	0.315842193	0.599203655	0.455577074	0.638987433	0.449908943	0.387794973	0.339571572	0.599126016	0.648861916	0.520155572	0.206732959	0.469432969	0.627888084	0.235117045	0.178464621	0.147037869	2.309401077	0.816496581	0	0.816496581	2.581988897
0.128169913	0.304216897	0.331229991	0.686851452	0.21672317	0.604483201	0.47249104	0.648136438	0.464979198	0.383075721	0.33398421	0.627646909	0.65806393	0.531074286	0.201626552	0.454201983	0.636324956	0.233182033	0.172900578	0.145744363	1.732050808	0	0	1	2
0.095273892	0.284770466	0.352835316	0.699297277	0.05807057	0.608704921	0.483150522	0.65143591	0.454795282	0.384328212	0.323050486	0.643173438	0.650144079	0.540016955	0.199694063	0.45831929	0.65320853	0.219704961	0.158576335	0.128216716	5.196152423	1	1	2.236067977	5.830951895
0.117594712	0.236020768	0.337916598	0.669186152	0.050950257	0.603897885	0.438516357	0.640704092	0.418396408	0.41688099	0.33104828	0.606244236	0.660725334	0.522795683	0.21604285	0.54921786	0.636267329	0.218538845	0.157253606	0.155093077	2.645751311	2	0	1.732050808	3.741657387
0.096311889	0.217087089	0.352879229	0.664692168	0.015666876	0.637033272	0.449686349	0.631758458	0.410709506	0.438675756	0.334894558	0.542037905	0.657769141	0.525434322	0.237749731	0.656034601	0.62287726	0.226155529	0.154233794	0.165752222	4.242640687	1.414213562	0	3.31662479	5.567764363
0.407810303	0.861313392	0.357314597	0.659662287	0.152200478	0.619605322	0.53608708	0.635879509	0.480193612	0.393725358	0.350605257	0.650143607	0.601004304	0.517070612	0.22691434	0.383179573	0.515995319	0.187841333	0.262996348	0.194328247	3.511884584	0	0	0.816496581	3.605551275
0.40814358	0.822788801	0.350156144	0.663136327	0.307212721	0.609753852	0.51532111	0.633688404	0.472516293	0.407593587	0.354090507	0.639915559	0.585525796	0.511702023	0.232759312	0.408920378	0.513447009	0.201762052	0.25878927	0.198308633	2.19089023	0.447213595	0	1	2.449489743
0.368046323	0.819039427	0.349615299	0.683423255	0.540912668	0.630239512	0.542638326	0.628499301	0.481667844	0.405695604	0.343937017	0.629446363	0.595893478	0.508646848	0.233182373	0.394903043	0.517846043	0.196097105	0.246442361	0.207703667	3.464101615	1	0	1.732050808	4
0.351587527	0.739704755	0.325399736	0.674982536	0.336787536	0.604893514	0.493360773	0.61656154	0.446020019	0.410336472	0.359441823	0.604168625	0.585431569	0.493883797	0.234725286	0.424871522	0.508468166	0.211077873	0.245558434	0.211423001	1.788854382	0.447213595	0	1	2.097617696
0.281749214	0.679720836	0.309269278	0.673934471	0.199887916	0.60669321	0.472116722	0.600133622	0.431414452	0.399570817	0.36755776	0.576777075	0.587596144	0.481511155	0.232991466	0.407338442	0.49443072	0.213603089	0.230998735	0.234410088	1.732050808	0	0	1	2
0.290262949	0.633569106	0.302740521	0.665590341	0.272190488	0.585870108	0.449401793	0.604209974	0.420812447	0.400412812	0.361910603	0.551992433	0.587239718	0.469654831	0.233234387	0.436185942	0.500496134	0.220100458	0.231776406	0.207793269	1.673320053	0.447213595	0	1.095445115	2.049390153
